reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,commonfor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Form of item",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/commonfor#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Specifies the form of material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,commonfor,http://marc21rdf.info/terms/commonfor#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3796,commonfor:%23,1,,,"none of the following",,,#,,,"Form of item other than microfilm, microfiche, microopaque, large print, braille, online, direct electronic, regular print reproduction, electronic.",,,"Not specified by one of the other codes.",,,,,,,,,,,,,,,,,,,,,
3797,commonfor:a,1,,,microfilm,,,a,,,Microfilm.,,,,,,,,,,,,,,,,,,,,,,,,
3798,commonfor:b,1,,,microfiche,,,b,,,Microfiche.,,,,,,,,,,,,,,,,,,,,,,,,
3799,commonfor:c,1,,,microopaque,,,c,,,Microopaque.,,,,,,,,,,,,,,,,,,,,,,,,
3800,commonfor:d,1,,,"large print",,,d,,,"Large print.",,,,,,,,,,,,,,,,,,,,,,,,
3801,commonfor:f,1,,,braille,,,f,,,Braille.,,,,,,,,,,,,,,,,,,,,,,,,
3806,commonfor:gx,1,,,"punched paper tape [obsolete]",,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,
3807,commonfor:hx,1,,,"magnetic tape [obsolete]",,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,
3808,commonfor:ix,1,,,"multimedia [obsolete]",,,i,,,,,,,,,,,,,,,,,,,,,,,,,,,
3802,commonfor:o,1,,,online,,,o,,,"Accessed by means of hardware and software connections to a communications network.",,,,,,,,,,,,,,,,,,,,,,,,
3803,commonfor:q,1,,,"direct electronic",,,q,,,"Storage on a directly accessible tangible recording medium, e.g. disc, tape, playaway device, flashdrive, portable hard drive, etc.",,,,,,,,,,,,,,,,,,,,,,,,
3804,commonfor:r,1,,,"regular print reproduction",,,r,,,"Eye-readable print, such as a photocopy.",,,,,,,,,,,,,,,,,,,,,,,,
3805,commonfor:s,1,,,electronic,,,s,,,"Intended for manipulation by a computer. May reside in a carrier accessed either directly or remotely, in some cases requiring the use of peripheral devices attached to the computer (e.g., a CD-ROM player).",,,"Not used for items that do not require the use of a computer (e.g., music compact discs, videodiscs).",,,,,,,,,,,,,,,,,,,,,
3809,commonfor:zx,1,,,"other form of reproduction [obsolete]",,,z,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
