reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,commongov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Government publication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/commongov#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates whether the item is published or produced by or for an international, provincial, national, state, or local government agency, or by any subdivision of such a body, and, if so, the jurisdictional level of the agency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,commongov,http://marc21rdf.info/terms/commongov#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3883,commongov:%23,1,,,"not a government publication",,,#,,,"Not published by or for a government body.",,,,,,,,,,,,,,,,,,,,,,,,
3884,commongov:a,1,,,"autonomous or semi-autonomous component",,,a,,,"Published or produced by or for a government body of an autonomous or semi-autonomous component of a country.",,,,,,,,,,,,,,,,,,,,,,,,
3885,commongov:c,1,,,multilocal,,,c,,,"Published or produced by or for a multilocal jurisdiction which is defined as a regional combination of jurisdictions below the state level.",,,,,,,,,,,,,,,,,,,,,,,,
3886,commongov:f,1,,,"federal or national",,,f,,,"Published or produced by or for a federal or national government body (e.g., a sovereign nation, such as Canada). Used for the governments of England, Wales, Scotland, and Northern Ireland. Also used for American Indian tribes.",,,,,,,,,,,,,,,,,,,,,,,,
3887,commongov:i,1,,,"international intergovernmental",,,i,,,"Published or produced by or for an international intergovernmental body.",,,,,,,,,,,,,,,,,,,,,,,,
3888,commongov:l,1,,,local,,,l,,,"Published or produced by or for a local government jurisdiction such as a town, city, county, etc.",,,,,,,,,,,,,,,,,,,,,,,,
3889,commongov:m,1,,,multistate,,,m,,,"Published or produced by or for a regional combination of jurisdictions at the state, provincial, territorial, etc. level.",,,,,,,,,,,,,,,,,,,,,,,,
3890,commongov:nx,1,,,"government publication - level undetermined [obsolete]",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
3891,commongov:o,1,,,"government publication - level undetermined",,,o,,,"Published or produced by or for a government body but that the jurisdictional level cannot be determined.",,,,,,,,,,,,,,,,,,,,,,,,
3892,commongov:s,1,,,"state, provincial, territorial, dependent, etc.",,,s,,,"Jurisdictional level of the government body is a state, province, territory, or other dependent jurisdiction.",,,,,,,,,,,,,,,,,,,,,,,,
3893,commongov:u,1,,,"unknown if item is government publication",,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,
3894,commongov:z,1,,,other,,,z,,,"Government publication other than autonomous or semi-autonomous component, multilocal, federal or national, international intergovernmental, local, multistate, government publication - level undetermined, state, provincial, territorial, dependent, etc.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
