reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,musicfom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Format of music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/musicfom#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates the format of a musical composition (e.g., piano-conductor score).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,musicfom,http://marc21rdf.info/terms/musicfom#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3840,musicfom:a,1,,,"full score",,,a,,,"Series of staves containing all the instrumental and/or vocal parts of a musical work, arranged so that they can be read simultaneously.",,,,,,,,,,,,,,,,,,,,,,,,
3841,musicfom:b,1,,,"full score, miniature or study size",,,b,,,"Miniature score that is usually smaller in size and not intended to be used in performances.",,,,,,,,,,,,,,,,,,,,,,,,
3842,musicfom:c,1,,,"accompaniment reduced for keyboard",,,c,,,"Accompaniment is reduced for keyboard instrument(s) and the vocal parts and/or solo instrumental parts remain the same.",,,"Not used for scores of works for solo voices and chorus showing only the parts for chorus, at least in those portions of the work in which the chorus sings, with the instrumental accompaniment arranged for one or two keyboard instruments.",,,,,,,,,,,,,,,,,,,,,
3843,musicfom:d,1,,,"voice score",,,d,,,"A score for a vocal work with the accompaniment omitted.",,,"Not used for vocal works originally unaccompanied.",,,,,,,,,,,,,,,,,,,,,
3844,musicfom:e,1,,,"condensed score or piano-conductor score",,,e,,,"Orchestral or band music that has been reduced to a few staves. It may be part of an ensemble work for a particular instrument, with cues for other instruments. Such a score is used by an individual playing the instrument for which the score was written or for the conductor.",,,,,,,,,,,,,,,,,,,,,,,,
3845,musicfom:g,1,,,"close score",,,g,,,"Close score (e.g., a hymnal) that has separate parts transcribed on two staves.",,,,,,,,,,,,,,,,,,,,,,,,
3846,musicfom:h,1,,,"chorus score",,,h,,,"A score of a work for solo voices and chorus showing only the parts for chorus, at least in those portions of the work in which the chorus sings, with the instrumental accompaniment either arranged for one or two keyboard instruments or omitted.",,,,,,,,,,,,,,,,,,,,,,,,
3847,musicfom:i,1,,,"condensed score",,,i,,,"A score in which the number of staves is reduced to two or a few, generally organized by instrumental sections, and often with cues for individual parts. Used for: Reduced score, Short score.",,,,,,,,,,,,,,,,,,,,,,,,
3848,musicfom:j,1,,,"performer-conductor part",,,j,,,"Score reduced to a single instrument for which the score was written or for the conductor.",,,,,,,,,,,,,,,,,,,,,,,,
3849,musicfom:m,1,,,"multiple score formats",,,m,,,"Several types of scores are issued together, as is frequently the case with band music.",,,,,,,,,,,,,,,,,,,,,,,,
3850,musicfom:n,1,,,"not applicable",,,n,,,"Item is a sound recording.",,,,,,,,,,,,,,,,,,,,,,,,
3851,musicfom:u,1,,,unknown,,,u,,,"Format of the item is unknown.",,,,,,,,,,,,,,,,,,,,,,,,
3852,musicfom:z,1,,,other,,,z,,,"Format of music other than full score, full score, miniature or study size, accompaniment reduced for keyboard, voice score, condensed score or piano-conductor score, close score, multiple score formats.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
