reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,maptyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Type of cartographic material",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/maptyp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates the type of cartographic item described.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,maptyp,http://marc21rdf.info/terms/maptyp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4565,maptyp:a,1,,,"single map",,,a,,,"Single map.",,,,,,,,,,,,,,,,,,,,,,,,
4566,maptyp:b,1,,,"map series",,,b,,,"Number of related but physically separate and bibliographically distinct cartographic units intended by the producer(s) or issuing body(s) to form a single group.",,,"Not used for atlas series.",,,,,,,,,,,,,,,,,,,,,
4567,maptyp:c,1,,,"map serial",,,c,,,"Issued in successive parts bearing numerical or chronological designations and intended to be continued indefinitely.",,,"Not used for serially issued atlases.",,,,,,,,,,,,,,,,,,,,,
4568,maptyp:d,1,,,globe,,,d,,,Globe.,,,,,,,,,,,,,,,,,,,,,,,,
4569,maptyp:e,1,,,atlas,,,e,,,Atlas.,,,"Includes atlas series, and serially issued atlases.",,,,,,,,,,,,,,,,,,,,,
4570,maptyp:f,1,,,"separate supplement to another work",,,f,,,"Separate supplement to another work",,,"Other work being supplemented does not have to be cartographic material.",,,,,,,,,,,,,,,,,,,,,
4571,maptyp:g,1,,,"bound as part of another work",,,g,,,"Bound as part of another work",,,"Other work included does not have to be cartographic material.",,,,,,,,,,,,,,,,,,,,,
4572,maptyp:u,1,,,unknown,,,u,,,Unknown.,,,,,,,,,,,,,,,,,,,,,,,,
4573,maptyp:z,1,,,other,,,z,,,"Type of cartographic material other than single map, map series, map serial, globe, atlas, separate map supplement to another work, map bound as part of another work.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
