reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,formofmaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-006: Form of material",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/formofmaterial#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,formofmaterial,http://marc21rdf.info/terms/formofmaterial#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3810,formofmaterial:a,1,,,"language material",,,a,,,"Nonserial language material.",,,,,,,,,,,,,,,,,,,,,,,,
3811,formofmaterial:c,1,,,"notated music",,,c,,,"Notated music.",,,,,,,,,,,,,,,,,,,,,,,,
3812,formofmaterial:d,1,,,"manuscript notated music",,,d,,,"Manuscript notated music.",,,,,,,,,,,,,,,,,,,,,,,,
3813,formofmaterial:e,1,,,"cartographic material",,,e,,,"Nonmanuscript cartographic material.",,,,,,,,,,,,,,,,,,,,,,,,
3814,formofmaterial:f,1,,,"manuscript cartographic material",,,f,,,"Manuscript cartographic material .",,,,,,,,,,,,,,,,,,,,,,,,
3815,formofmaterial:g,1,,,"projected medium",,,g,,,"Projected medium.",,,,,,,,,,,,,,,,,,,,,,,,
3816,formofmaterial:i,1,,,"nonmusical sound recording",,,i,,,"Nonmusical sound recording.",,,,,,,,,,,,,,,,,,,,,,,,
3817,formofmaterial:j,1,,,"musical sound recording",,,j,,,"Musical sound recording.",,,,,,,,,,,,,,,,,,,,,,,,
3818,formofmaterial:k,1,,,"two-dimensional nonprojectable graphic",,,k,,,"Two-dimensional nonprojectable graphic.",,,,,,,,,,,,,,,,,,,,,,,,
3819,formofmaterial:m,1,,,"computer file or electronic resource",,,m,,,"Computer file or an electronic resource in form.",,,,,,,,,,,,,,,,,,,,,,,,
3820,formofmaterial:o,1,,,kit,,,o,,,Kit.,,,,,,,,,,,,,,,,,,,,,,,,
3821,formofmaterial:p,1,,,"mixed material",,,p,,,"Mixed material.",,,,,,,,,,,,,,,,,,,,,,,,
3822,formofmaterial:r,1,,,"three-dimensional artifact or naturally occurring object",,,r,,,"Three-dimensional artifact or naturally occurring object.",,,,,,,,,,,,,,,,,,,,,,,,
3823,formofmaterial:s,1,,,"serial or integrating resource",,,s,,,"Control aspects of a non-printed continuing resource.",,,,,,,,,,,,,,,,,,,,,,,,
3824,formofmaterial:t,1,,,"manuscript language material",,,t,,,"Manuscript language material.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
