reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,soundrecordingmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Kind of material of sound recording",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/soundrecordingmat#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Kind of material used in the manufacture of sound recordings (both instantaneous and mass-produced).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,soundrecordingmat,http://marc21rdf.info/terms/soundrecordingmat#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3938,soundrecordingmat:a,1,,,"lacquer coating",,,a,,,"Lacquer coated, but the base material on which the lacquer is applied is not identified.",,,,,,,,,,,,,,,,,,,,,,,,
3939,soundrecordingmat:b,1,,,"cellulose nitrate",,,b,,,"Cellulose nitrate base.",,,"used for items such as memovox discs.",,,,,,,,,,,,,,,,,,,,,
3940,soundrecordingmat:c,1,,,"acetate tape with ferrous oxide",,,c,,,"Acetate base with a ferrous oxide coating.",,,"May include acetate tape and belts, such as magnabelts.",,,,,,,,,,,,,,,,,,,,,
3941,soundrecordingmat:g,1,,,"glass with lacquer",,,g,,,"Glass disc base with a lacquer coating.",,,,,,,,,,,,,,,,,,,,,,,,
3942,soundrecordingmat:i,1,,,"aluminum with lacquer",,,i,,,"Aluminum disc base with a lacquer coating.",,,,,,,,,,,,,,,,,,,,,,,,
3943,soundrecordingmat:l,1,,,metal,,,l,,,"Made entirely of metal.",,,"Includes the earliest cylinders, which were made of tinfoil, and aluminum transcription discs with no coating, as well as wire and metal tape.",,,,,,,,,,,,,,,,,,,,,
3944,soundrecordingmat:m,1,,,"plastic with metal",,,m,,,"Made of plastic base with a metal coating.",,,"The metal part of such an item is often a thin layer applied to the plastic base. Includes compact audio discs (CDs).",,,,,,,,,,,,,,,,,,,,,
3945,soundrecordingmat:nx,1,,,"not applicable [obsolete]",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
3946,soundrecordingmat:p,1,,,plastic,,,p,,,"Made entirely of plastic.",,,"Also includes mylar, polyester and vinyl materials. Since the 1950s, commercial or mass-produced sound recordings on 16, 33 1/3, and 45 rpm discs, cassettes, and cartridges are made of plastic.",,,,,,,,,,,,,,,,,,,,,
