reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,microformbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Base of film of microform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/microformbas#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Base of the film.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,microformbas,http://marc21rdf.info/terms/microformbas#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,microformbas:a,1,,,"safety base, undetermined",,,a,,,"Type has not been identified.",,,,,,,,,,,,,,,,,,,,,,,,
3437,microformbas:c,1,,,"safety base, acetate undetermined",,,c,,,"Acetate safety base film whose exact type cannot be determined.",,,,,,,,,,,,,,,,,,,,,,,,
3438,microformbas:d,1,,,"safety base, diacetate",,,d,,,"Cellulose diacetate film base.",,,,,,,,,,,,,,,,,,,,,,,,
3439,microformbas:i,1,,,"nitrate base",,,i,,,"Cellulose nitrate film.",,,,,,,,,,,,,,,,,,,,,,,,
3440,microformbas:m,1,,,"mixed base (nitrate and safety)",,,m,,,"Combination of nitrate base and safety base film.",,,,,,,,,,,,,,,,,,,,,,,,
3441,microformbas:n,1,,,"not applicable",,,n,,,"A reflective rather than a transparent base.",,,"Used for microopaques (which can be termed microcard or microprint).",,,,,,,,,,,,,,,,,,,,,
3442,microformbas:p,1,,,"safety base, polyester",,,p,,,"Film base is made of a synthetic resin (e.g., estar).",,,,,,,,,,,,,,,,,,,,,,,,
3443,microformbas:r,1,,,"safety base, mixed",,,r,,,"Mixed safety base films are spliced together; no nitrate film.",,,,,,,,,,,,,,,,,,,,,,,,
3444,microformbas:t,1,,,"safety base, triacetate",,,t,,,"Cellulose triacetate film base.",,,,,,,,,,,,,,,,,,,,,,,,
3445,microformbas:u,1,,,unknown,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,microformbas:z,1,,,other,,,z,,,"Base of film other than safety base, undetermined, safety base, acetate undetermined, safety base, diacetate, nitrate base, mixed base (nitrate and safety), not applicable, safety base, polyester, safety base, mixed, safety base, triacetate.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
