reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,tactilespc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Special physical characteristics of tactile resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/tactilespc#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Other special physical characteristics about the braille.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,tactilespc,http://marc21rdf.info/terms/tactilespc#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392,tactilespc:a,1,,,print/braille,,,a,,,"Eye-readable print with braille interleaved or embossed.",,,,,,,,,,,,,,,,,,,,,,,,
4393,tactilespc:b,1,,,"jumbo or enlarged braille",,,b,,,"Jumbo or enlarged braille, which is used for braille students and braille readers with reduced tactile sensitivity.",,,,,,,,,,,,,,,,,,,,,,,,
4394,tactilespc:n,1,,,"not applicable",,,n,,,"Not braille.",,,,,,,,,,,,,,,,,,,,,,,,
4395,tactilespc:u,1,,,unknown,,,u,,,"Special physical characteristics are not known.",,,,,,,,,,,,,,,,,,,,,,,,
4396,tactilespc:z,1,,,other,,,z,,,"Specific physical characteristics other than print/braille, jumbo or enlarged braille.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
