reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,musicfoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Form of composition for music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/musicfoc#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates the form of composition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,musicfoc,http://marc21rdf.info/terms/musicfoc#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724,musicfoc:an,1,,,anthems,,,an,,,Anthems.,,,,,,,,,,,,,,,,,,,,,,,,
3725,musicfoc:bd,1,,,ballads,,,bd,,,Ballads.,,,,,,,,,,,,,,,,,,,,,,,,
3726,musicfoc:bg,1,,,"bluegrass music",,,bg,,,"Bluegrass music.",,,,,,,,,,,,,,,,,,,,,,,,
3727,musicfoc:bl,1,,,blues,,,bl,,,Blues.,,,,,,,,,,,,,,,,,,,,,,,,
3728,musicfoc:bt,1,,,ballets,,,bt,,,Ballets.,,,,,,,,,,,,,,,,,,,,,,,,
3729,musicfoc:ca,1,,,chaconnes,,,ca,,,Chaconnes.,,,,,,,,,,,,,,,,,,,,,,,,
3730,musicfoc:cb,1,,,"chants, other religions",,,cb,,,"Chants, Other religions.",,,,,,,,,,,,,,,,,,,,,,,,
3731,musicfoc:cc,1,,,"chant, Christian",,,cc,,,"Chant, Christian.",,,,,,,,,,,,,,,,,,,,,,,,
3732,musicfoc:cg,1,,,"concerti grossi",,,cg,,,"Concerti grossi.",,,,,,,,,,,,,,,,,,,,,,,,
3733,musicfoc:ch,1,,,chorales,,,ch,,,Chorales.,,,,,,,,,,,,,,,,,,,,,,,,
3734,musicfoc:cl,1,,,"chorale preludes",,,cl,,,"Chorale preludes.",,,,,,,,,,,,,,,,,,,,,,,,
3735,musicfoc:cn,1,,,"canons and rounds",,,cn,,,"Canons and rounds. Compositions employing strict imitation throughout.",,,,,,,,,,,,,,,,,,,,,,,,
3736,musicfoc:co,1,,,concertos,,,co,,,Concertos.,,,,,,,,,,,,,,,,,,,,,,,,
3737,musicfoc:cp,1,,,"chansons, polyphonic",,,cp,,,"Chansons, polyphonic.",,,,,,,,,,,,,,,,,,,,,,,,
3738,musicfoc:cr,1,,,carols,,,cr,,,Carols.,,,,,,,,,,,,,,,,,,,,,,,,
