reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,microformemu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Emulsion on film of microform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/microformemu#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Type of light-sensitive material on the film.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,microformemu,http://marc21rdf.info/terms/microformemu#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3711,microformemu:a,1,,,"silver halide",,,a,,,"A compound of silver and halogens.",,,,,,,,,,,,,,,,,,,,,,,,
3712,microformemu:b,1,,,diazo,,,b,,,"Sensitized layers composed of diazonium salts that react with couplers to form dye images. The color of the image is determined by the composition of the diazonium compound as well as the couplers used in the process.",,,,,,,,,,,,,,,,,,,,,,,,
3713,microformemu:c,1,,,vesicular,,,c,,,"Light-sensitive component is suspended in a plastic layer. On exposure, the component creates optical vesicules (bubbles) in the layers. These bubbles form the latent image. The latent image becomes visible and fixed by heating the plastic layer and then allowing it to cool.",,,,,,,,,,,,,,,,,,,,,,,,
3714,microformemu:m,1,,,"mixed emulsion",,,m,,,"Mixed emulsion.",,,"For example, a microfilm may have slices of film with one type of emulsion and other slices with another type of emulsion.",,,,,,,,,,,,,,,,,,,,,
3715,microformemu:n,1,,,"not applicable",,,n,,,"Item does not have emulsion on film.",,,"Used for microopaques.",,,,,,,,,,,,,,,,,,,,,
3716,microformemu:u,1,,,unknown,,,u,,,"Emulsion on the film is not known.",,,,,,,,,,,,,,,,,,,,,,,,
3717,microformemu:z,1,,,other,,,z,,,"Emulsion on film other than silver halide, diazo, vesicular, mixed emulsion.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
