reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,remotesensingalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Altitude of remote sensor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/remotesensingalt#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"General position of the sensor relative to to the object under study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,remotesensingalt,http://marc21rdf.info/terms/remotesensingalt#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,remotesensingalt:a,1,,,surface,,,a,,,"Remote-sensing image was made from a device located on the surface of a body, usually a planet or moon.",,,,,,,,,,,,,,,,,,,,,,,,
3411,remotesensingalt:b,1,,,airborne,,,b,,,"Remote-sensing image was made from a device above the surface of a body, generally in the atmosphere, an aircraft, balloon, or some other airborne device.",,,,,,,,,,,,,,,,,,,,,,,,
3412,remotesensingalt:c,1,,,spaceborne,,,c,,,"Remote-sensing image was made from a device in space. Spaceborne sensors are those located outside the primary layers of an atmosphere (usually in orbit) and beyond.",,,,,,,,,,,,,,,,,,,,,,,,
3413,remotesensingalt:n,1,,,"not applicable",,,n,,,"Altitude of the sensor is not applicable to the image.",,,,,,,,,,,,,,,,,,,,,,,,
3414,remotesensingalt:u,1,,,unknown,,,u,,,"Altitude of the sensor from which the image was made is not known.",,,,,,,,,,,,,,,,,,,,,,,,
3415,remotesensingalt:z,1,,,other,,,z,,,"Altitude of sensor other than surface, airborne, spaceborne.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
