reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,electroant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Antecedent/Source of electronic resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/electroant#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Information about the source of a digital file important to the creation, use and management of digitally reformatted materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,electroant,http://marc21rdf.info/terms/electroant#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,electroant:a,1,,,"file reproduced from original",,,a,,,"Content (image, audio, or video) comprising the electronic resource has been created by digitization of the original item.",,,"Common examples of original objects include: printed or manuscript texts and/or images that are made on paper or on vellum; photographic prints (and in some instances photographic negatives, depending on creator's intent); analog audio formats; and video formats. This value does not pertain to microform even if microform is the original.",,,,,,,,,,,,,,,,,,,,,
3417,electroant:b,1,,,"file reproduced from microform",,,b,,,"Content comprising the electronic resource has been created by scanning from microform.",,,"16mm microfilm, 35mm microfilm, 105mm microfiche, microcard, micro-opaque, etc.",,,,,,,,,,,,,,,,,,,,,
3418,electroant:c,1,,,"file reproduced from an electronic resource",,,c,,,"Electronic resource has been created or copied from an existing electronic resource.",,,"E.g., to generate new copies or derivative copies with lower resolution or smaller file size; to process an existing file with Optical Character Recognition - OCR - software; etc.",,,,,,,,,,,,,,,,,,,,,
3419,electroant:d,1,,,"file reproduced from an intermediate   (not microform",,,d,,,"Content comprising the electronic resource has been created by reformatting/digitizing from an intermediate other than microform.",,,"Common examples of non-microfom intermediates for visual and textual materials are: photocopies, 35 mm film, transparencies, slides, 2nd generation video tape, etc. A common example of an intermediate for audio materials is 2nd generation analog tapes.",,,,,,,,,,,,,,,,,,,,,
3420,electroant:m,1,,,mixed,,,m,,,"Images comprising the electronic resource have been created from mixed sources.",,,"Portions scanned from original item, portions scanned from microfilm, etc.",,,,,,,,,,,,,,,,,,,,,
3421,electroant:n,1,,,"not applicable",,,n,,,"Antecedent or source are not applicable to this electronic resource.",,,"Appropriate for electronic resources other than those created during a reformatting process.",,,,,,,,,,,,,,,,,,,,,
3422,electroant:u,1,,,unknown,,,u,,,"Antecedent or source of this reformatted electronic resource is not known.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
