reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,projectedbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Base of emulsion of projected resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/projectedbas#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Type of material for the base of the emulsion of a photonegative, filmstrip, slide, or transparency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,projectedbas,http://marc21rdf.info/terms/projectedbas#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,projectedbas:d,1,,,glass,,,d,,,Glass.,,,,,,,,,,,,,,,,,,,,,,,,
3429,projectedbas:e,1,,,synthetic,,,e,,,"Synthetic material.",,,"E.g., plastics, vinyl, etc.",,,,,,,,,,,,,,,,,,,,,
3430,projectedbas:j,1,,,"safety film",,,j,,,"Safety (i.e., not nitrate) film.",,,,,,,,,,,,,,,,,,,,,,,,
3431,projectedbas:k,1,,,"film base, other than safety film",,,k,,,"Not safety film.",,,,,,,,,,,,,,,,,,,,,,,,
3432,projectedbas:m,1,,,"mixed collection",,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,projectedbas:o,1,,,paper,,,o,,,"Any kind of cellulose-based paper.",,,,,,,,,,,,,,,,,,,,,,,,
3434,projectedbas:u,1,,,unknown,,,u,,,"Material varies for different items in a collection.",,,"Typically this would be used for groups of projected graphics on various bases.",,,,,,,,,,,,,,,,,,,,,
3435,projectedbas:z,1,,,other,,,z,,,"Base of emulsion other than glass, synthetic, safety film, film base, other than safety film, mixed collection, paper.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
