reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,soundrecordingwid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Tape width of sound recording",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/soundrecordingwid#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Width of the tape.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,soundrecordingwid,http://marc21rdf.info/terms/soundrecordingwid#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4536,soundrecordingwid:l,1,,,"1/8 in.",,,l,,,"1/8 in.",,,"Most cassettes use 1/8 in. tape.",,,,,,,,,,,,,,,,,,,,,
4537,soundrecordingwid:m,1,,,"1/4 in.",,,m,,,"1/4 in.",,,"Nonprofessional, consumer, and some professional reels, and most 8-track cartridges use 1/4 in. tape.",,,,,,,,,,,,,,,,,,,,,
4538,soundrecordingwid:n,1,,,"not applicable",,,n,,,"Item is not a tape or does not include a tape.",,,"For example, if the item is a disc.",,,,,,,,,,,,,,,,,,,,,
4539,soundrecordingwid:o,1,,,"1/2 in.",,,o,,,"1/2 in.",,,"Recording studios customarily use 1/2 in. tape. Some 8-track cartridges have been issued in 1/2 in. tape.",,,,,,,,,,,,,,,,,,,,,
4540,soundrecordingwid:p,1,,,"1 in.",,,p,,,"Recording studios often use 1 inch tape. Some 8-track cartridges have been issued in 1 in. tape.",,,"Recording studios often use 1 inch tape. Some 8-track cartridges have been issued in 1 in. tape.",,,,,,,,,,,,,,,,,,,,,
4541,soundrecordingwid:u,1,,,unknown,,,u,,,"Tape width is not known.",,,,,,,,,,,,,,,,,,,,,,,,
4542,soundrecordingwid:z,1,,,other,,,z,,,"Width other than 1/8 in., 1/4 in., 1/2 in., 1 in.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
