reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,remotesensingpct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Platform construction type of remote sensing device",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/remotesensingpct#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Type of construction of the platform serving as the base for the remote-sensing device. ""Platform"" refers to any structure that serves as a base, not only flat surfaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,remotesensingpct,http://marc21rdf.info/terms/remotesensingpct#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4154,remotesensingpct:a,1,,,balloon,,,a,,,"Base for the remote-sensing device was a balloon or similar lighter-than-air platform.",,,,,,,,,,,,,,,,,,,,,,,,
4155,remotesensingpct:b,1,,,"aircraft - low altitude",,,b,,,"Base for the remote-sensing device was an dynamic lift aircraft designed for low altitude flight (below 29,500 ft. (8,962 m.)).",,,,,,,,,,,,,,,,,,,,,,,,
4156,remotesensingpct:c,1,,,"aircraft - medium altitude",,,c,,,"Base for the remote-sensing device was an dynamic lift aircraft designed for medium altitude flight (between 29,500 ft. (8,962 m.) and 49,000 ft. (14,810 m.)).",,,,,,,,,,,,,,,,,,,,,,,,
4157,remotesensingpct:d,1,,,"aircraft - high altitude",,,d,,,"Base for the remote-sensing device was an dynamic lift aircraft designed for high altitude flight (above 49,000 ft. (14,810 m.)).",,,,,,,,,,,,,,,,,,,,,,,,
4158,remotesensingpct:e,1,,,"manned spacecraft",,,e,,,"Base for the remote-sensing device was a manned spacecraft.",,,,,,,,,,,,,,,,,,,,,,,,
4159,remotesensingpct:f,1,,,"unmanned spacecraft",,,f,,,"Base for the remote-sensing device was an unmanned spacecraft.",,,,,,,,,,,,,,,,,,,,,,,,
4160,remotesensingpct:g,1,,,"land-based remote-sensing device",,,g,,,"Base for the remote-sensing device was a land-based.",,,,,,,,,,,,,,,,,,,,,,,,
4161,remotesensingpct:h,1,,,"water surface-based remote-sensing device",,,h,,,"Base for the remote-sensing device was designed to remain on the surface of a body of water.",,,"E.g., a ship or floating platform",,,,,,,,,,,,,,,,,,,,,
4162,remotesensingpct:i,1,,,"submersible remote-sensing device",,,i,,,"Base for the remote-sensing device was designed to be submerged beneath the surface of a body of water",,,"E.g., a submersible vessel or platform",,,,,,,,,,,,,,,,,,,,,
4163,remotesensingpct:n,1,,,"not applicable",,,n,,,"Not applicable.",,,,,,,,,,,,,,,,,,,,,,,,
4164,remotesensingpct:u,1,,,unknown,,,u,,,"Construction type of the platform from which the remote-sensing image was made is not known.",,,,,,,,,,,,,,,,,,,,,,,,
4165,remotesensingpct:z,1,,,other,,,z,,,"Platform construction type other than balloon, aircraft - low altitude, aircraft - medium altitude, aircraft - high altitude, manned spacecraft, unmanned spacecraft, land-based remote-sensing device, water surface-based remote-sensing device, submersible remote-sensing device.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
