reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,motionpicturegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Generation of motion picture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/motionpicturegen#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"How far away from the original material the item is (e.g., the actual negative film or original videotape in the camera).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,motionpicturegen,http://marc21rdf.info/terms/motionpicturegen#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3877,motionpicturegen:d,1,,,duplicate,,,d,,,"Duplicate that is usually negative, referred to as a dupe neg, and is a reproduction of the original picture or sound track. A duplicate negative is made from a master positive, which in turn was made from an earlier negative.",,,"A duplicate is at least three generations from the original. Duplicate negatives may be prepared either to obtain characteristics not present in the original image, as in special effects work, or to protect and extend the production availability of the assembled original negative as when duplicate negatives are prepared for release printing simultaneously at different labs.",,,,,,,,,,,,,,,,,,,,,
3878,motionpicturegen:e,1,,,master,,,e,,,"Master that is usually positive and referred to as a master positive. It is a specially prepared positive print made from an earlier generation negative film and used for the preparation of duplicate negatives rather than for projection.",,,"The master is normally considered second generation material.",,,,,,,,,,,,,,,,,,,,,
3879,motionpicturegen:o,1,,,original,,,o,,,"Original that is usually negative. It is film exposed in a camera and thus of better quality than any subsequent generation or derivative.",,,"When referring to older film, an original is almost always a negative. However, the original film may also be a reversal positive.",,,,,,,,,,,,,,,,,,,,,
3880,motionpicturegen:r,1,,,"reference print/viewing copy",,,r,,,"Reference print (ref print) that is defined technically as a release print which has been approved by the producer and director of a film. A reference print may also mean a print kept as a reference print to evaluate the quality of subsequent prints. In film archives, the term is used to indicate that a film may be viewed by researchers.",,,"It is not original, master, or duplicate material.",,,,,,,,,,,,,,,,,,,,,
3881,motionpicturegen:u,1,,,unknown,,,u,,,"Generation stage of the film is not known.",,,,,,,,,,,,,,,,,,,,,,,,
3882,motionpicturegen:z,1,,,other,,,z,,,"Generation other than duplicate, master original, reference print/viewing copy.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
