reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,soundrecordingtap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Tape configuration of sound recording",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/soundrecordingtap#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Number of tracks on a tape.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,soundrecordingtap,http://marc21rdf.info/terms/soundrecordingtap#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,soundrecordingtap:a,1,,,"full (1) track",,,a,,,"Full or single track.",,,,,,,,,,,,,,,,,,,,,,,,
4528,soundrecordingtap:b,1,,,"half (2) track",,,b,,,"Half track configuration is used to permit two tracks (channels) to be recorded on one tape.",,,"It is used with audio cassettes to permit monoaural recordings in two directions and with stereophonic recordings in one direction.",,,,,,,,,,,,,,,,,,,,,
4529,soundrecordingtap:c,1,,,"quarter (4) track",,,c,,,"Quarter track configuration is used to permit four tracks (channels) to be recorded on one tape.",,,"It is used with standard audio cassettes to permit stereophonic recordings in two directions, and with quadraphonic recordings in one direction.",,,,,,,,,,,,,,,,,,,,,
4530,soundrecordingtap:d,1,,,"eight track",,,d,,,"Eight track configuration is used with monaural, stereophonic, and quadraphonic recordings.",,,,,,,,,,,,,,,,,,,,,,,,
4531,soundrecordingtap:e,1,,,"twelve track",,,e,,,"Twelve track configuration is used in professional recording studios to permit separate control of various tracks which are later mixed to produce a stereophonic or quadraphonic recording.",,,,,,,,,,,,,,,,,,,,,,,,
4532,soundrecordingtap:f,1,,,"sixteen track",,,f,,,"Sixteen track configuration is used in professional recording studios to permit separate control of various tracks which are later mixed to produce a stereophonic or quadraphonic recording.",,,,,,,,,,,,,,,,,,,,,,,,
4533,soundrecordingtap:n,1,,,"not applicable",,,n,,,"Item is not a tape or does not include a tape.",,,"For example, if the item is a disc.",,,,,,,,,,,,,,,,,,,,,
4534,soundrecordingtap:u,1,,,unknown,,,u,,,"Tape configuration is not known.",,,,,,,,,,,,,,,,,,,,,,,,
4535,soundrecordingtap:z,1,,,other,,,z,,,"Tape configuration other than half (2) track, quarter (4) track, eight track, twelve track, sixteen track.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
