reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,projectedsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Secondary support material of projected graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/projectedsec#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Type of material of the mount of a slide or transparency for a projected graphic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,projectedsec,http://marc21rdf.info/terms/projectedsec#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4344,projectedsec:%23,1,,,"no secondary support",,,#,,,"No secondary support.",,,"Includes filmstrips.",,,,,,,,,,,,,,,,,,,,,
4345,projectedsec:c,1,,,cardboard,,,c,,,"Cardboard mount.",,,"Slides and transparencies cataloged from data sheets are assumed to have cardboard mounts unless otherwise known.",,,,,,,,,,,,,,,,,,,,,
4346,projectedsec:d,1,,,glass,,,d,,,"Glass mount that usually covers the film base but should not be the primary support for the film emulsion.",,,,,,,,,,,,,,,,,,,,,,,,
4347,projectedsec:e,1,,,synthetic,,,e,,,"Synthetic material.",,,"E.g. plastics, vinyl, etc.",,,,,,,,,,,,,,,,,,,,,
4348,projectedsec:h,1,,,metal,,,h,,,Metal.,,,"Usually used to frame larger projected graphics which need better support.",,,,,,,,,,,,,,,,,,,,,
4349,projectedsec:j,1,,,"metal and glass",,,j,,,"Metal portion is usually a frame that holds one or two pieces of glass to support the film base. Glass should not be the primary support for the film emulsion.",,,,,,,,,,,,,,,,,,,,,,,,
4350,projectedsec:k,1,,,"synthetic and glass",,,k,,,"Synthetic material is usually used as a frame to hold one or two pieces of glass to support the film base. Glass should not be the primary support for the film emulsion.",,,"E.g. plastics, vinyl, etc.",,,,,,,,,,,,,,,,,,,,,
4351,projectedsec:m,1,,,"mixed collection",,,m,,,"Secondary support material varies for different items in a collection.",,,"Typically this is used for groups of projected graphics on various secondary support materials.",,,,,,,,,,,,,,,,,,,,,
4352,projectedsec:u,1,,,unknown,,,u,,,"Secondary support material is not known.",,,,,,,,,,,,,,,,,,,,,,,,
4353,projectedsec:z,1,,,other,,,z,,,"Secondary support material other than cardboard, glass, synthetic, metal, metal and glass, synthetic and glass, mixed collection.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
