reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,musiclit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Literary text of sound recordings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/musiclit#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicate the type of literary text contained in a nonmusical sound recording.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,musiclit,http://marc21rdf.info/terms/musiclit#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976,musiclit:%23,1,,,"item is a musical sound recording",,,#,,,"Item is a musical sound recording",,,,,,,,,,,,,,,,,,,,,,,,
3977,musiclit:a,1,,,autobiography,,,a,,,Autobiography,,,,,,,,,,,,,,,,,,,,,,,,
3978,musiclit:b,1,,,biography,,,b,,,Biography,,,,,,,,,,,,,,,,,,,,,,,,
3979,musiclit:c,1,,,"conference proceedings",,,c,,,"Conference proceedings",,,,,,,,,,,,,,,,,,,,,,,,
3980,musiclit:d,1,,,drama,,,d,,,Drama,,,,,,,,,,,,,,,,,,,,,,,,
3981,musiclit:e,1,,,essays,,,e,,,Essays.,,,,,,,,,,,,,,,,,,,,,,,,
3982,musiclit:f,1,,,fiction,,,f,,,Fiction.,,,"Includes novels, short stories, etc.",,,,,,,,,,,,,,,,,,,,,
3983,musiclit:g,1,,,reporting,,,g,,,Reporting.,,,,,,,,,,,,,,,,,,,,,,,,
3984,musiclit:h,1,,,history,,,h,,,History.,,,,,,,,,,,,,,,,,,,,,,,,
3985,musiclit:i,1,,,instruction,,,i,,,Instruction.,,,"Includes instructions on how to accomplish a task, learn an art, etc. (e.g., how to replace a light switch). Not used for language instruction.",,,,,,,,,,,,,,,,,,,,,
3986,musiclit:j,1,,,"language instruction",,,j,,,"Language instruction.",,,,,,,,,,,,,,,,,,,,,,,,
3987,musiclit:k,1,,,comedy,,,k,,,"Spoken comedy.",,,,,,,,,,,,,,,,,,,,,,,,
3988,musiclit:l,1,,,"lectures, speeches",,,l,,,"Lectures, speeches.",,,,,,,,,,,,,,,,,,,,,,,,
3989,musiclit:m,1,,,memoirs,,,m,,,Memoirs.,,,,,,,,,,,,,,,,,,,,,,,,
3990,musiclit:n,1,,,"not applicable",,,n,,,"Not a sound recording (e.g., printed or manuscript music).",,,,,,,,,,,,,,,,,,,,,,,,
3991,musiclit:o,1,,,folktales,,,o,,,Folktales.,,,,,,,,,,,,,,,,,,,,,,,,
3992,musiclit:p,1,,,poetry,,,p,,,Poetry.,,,,,,,,,,,,,,,,,,,,,,,,
3993,musiclit:r,1,,,rehearsals,,,r,,,"Performances of any of a variety of nonmusical productions.",,,,,,,,,,,,,,,,,,,,,,,,
3994,musiclit:s,1,,,sounds,,,s,,,Sounds.,,,,,,,,,,,,,,,,,,,,,,,,
3995,musiclit:t,1,,,interviews,,,t,,,Interviews.,,,,,,,,,,,,,,,,,,,,,,,,
3996,musiclit:z,1,,,other,,,z,,,"Literary text for sound recordings other than autobiography, biography, conference proceedings, drama, essays, fiction, reporting, history, instruction, language instruction, comedy, lectures, speeches, memoirs, folktales, poetry, rehearsals, sounds, interviews.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
