reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,microformdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Dimensions of microform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/microformdim#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Dimensions of the microform; does not indicate the dimensions of the image.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,microformdim,http://marc21rdf.info/terms/microformdim#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,microformdim:a,1,,,"8 mm.",,,a,,,"8 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3654,microformdim:d,1,,,"16 mm.",,,d,,,"16 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3655,microformdim:f,1,,,"35 mm.",,,f,,,"35 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3656,microformdim:g,1,,,"70 mm.",,,g,,,"70 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3657,microformdim:h,1,,,"105 mm.",,,h,,,"105 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3658,microformdim:l,1,,,"3x5 in. or 8x13 cm.",,,l,,,"3x5 in. or 8x13 cm.",,,,,,,,,,,,,,,,,,,,,,,,
3659,microformdim:m,1,,,"4x6 in. or 11x15 cm.",,,m,,,"4x6 in. or 11x15 cm.",,,,,,,,,,,,,,,,,,,,,,,,
3660,microformdim:o,1,,,"6x9 in. or 16x23 cm.",,,o,,,"6x9 in. or 16x23 cm.",,,,,,,,,,,,,,,,,,,,,,,,
3661,microformdim:p,1,,,"3 1/4 x 7 3/8 in. or 9x19 cm.",,,p,,,"3 1/4 x 7 3/8 in. or 9x19 cm.",,,,,,,,,,,,,,,,,,,,,,,,
3662,microformdim:u,1,,,unknown,,,u,,,"Dimensions are not known.",,,,,,,,,,,,,,,,,,,,,,,,
3663,microformdim:z,1,,,other,,,z,,,"Dimensions other than 8 mm., 16 mm., 35 mm., 70 mm., 105 mm., 3x5 in. or 8x13 cm., 4x6 in. or 11x15 cm., 6x9 in. or 16x23 cm., 3 1/4 x 7 3/8 in. or 9x19 cm.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
