reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,projecteddim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Dimensions of projected graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/projecteddim#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Width or dimensions of the projected graphic item. Width is given for filmstrips. Height and width are given for slides and transparencies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,projecteddim,http://marc21rdf.info/terms/projecteddim#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,projecteddim:a,1,,,"standard 8 mm. film width",,,a,,,"Width of the film is standard 8 mm.",,,"Includes film termed Mauer 8 mm.",,,,,,,,,,,,,,,,,,,,,
3674,projecteddim:b,1,,,"super 8 mm./single 8 mm. film width",,,b,,,"Width of the film is super 8 mm.",,,"Single 8 mm. film is a Japanese equivalent of super 8 mm. film.",,,,,,,,,,,,,,,,,,,,,
3675,projecteddim:c,1,,,"9.5 mm. film width",,,c,,,"Width of the film is 9.5 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3676,projecteddim:d,1,,,"16 mm. film width",,,d,,,"Width of the film is 16 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3677,projecteddim:e,1,,,"28 mm. film width",,,e,,,"Width of the film is 28 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3678,projecteddim:f,1,,,"35 mm. film width",,,f,,,"Width of the film is 35 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3679,projecteddim:g,1,,,"70 mm. film width",,,g,,,"Width of the film is 70 mm.",,,,,,,,,,,,,,,,,,,,,,,,
3680,projecteddim:j,1,,,"2x2 in. or 5x5 cm. slide",,,j,,,"Dimensions of the slide in its mounting are either 2x2 in. or 5x5 cm.",,,,,,,,,,,,,,,,,,,,,,,,
3681,projecteddim:k,1,,,"2 1/4 x 2 1/4 in. or 6x6 cm. slide",,,k,,,"Dimensions of the slide in its mounting are either 2 1/4 x 2 1/4 in. or 6x6 cm.",,,,,,,,,,,,,,,,,,,,,,,,
3682,projecteddim:s,1,,,"4x5 in. or 10x13 cm. transparency",,,s,,,"Dimensions of the transparency are either 4x5 in. or 10x13 cm.",,,,,,,,,,,,,,,,,,,,,,,,
