reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,electroreq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Reformatting quality of electronic resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/electroreq#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Reformatting quality of the electronic resource; an overall assessment of the physical quality of the electronic resource in relation to its intended use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,electroreq,http://marc21rdf.info/terms/electroreq#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4298,electroreq:a,1,,,access,,,a,,,"Electronic resource is of a quality that will support current, electronic access to the original item (reference use), but is not sufficient to serve as a preservation copy.",,,"Examples of electronic resources created for access purposes may include images created for a temporary, online exhibition (possibly to mirror an in-house installation); compressed, lower resolution versions of higher-quality master files that allow for easier transmission and access over the Internet; video converted to MPEG-2 for Internet access; photos which have been scanned at lower resolutions to create an online browsing tool for a collection; or articles scanned as a part of an E-Reserve collection which will be discarded in accordance with previous copyright agreements which specify a time limit on the retention of the electronic resource.",,,,,,,,,,,,,,,,,,,,,
4299,electroreq:n,1,,,"not applicable",,,n,,,"Reformatting quality is not applicable to the electronic resource.",,,,,,,,,,,,,,,,,,,,,,,,
4300,electroreq:p,1,,,preservation,,,p,,,"Electronic resource was created via reformatting to help preserve the original item.",,,"Capture and storage techniques associated with preservation files ensure high-quality, long-term electronic resources that warrant long-term protection.",,,,,,,,,,,,,,,,,,,,,
4301,electroreq:r,1,,,replacement,,,r,,,"Electronic resource is of very high quality and, when printed out, viewed on screen or played via a listening device could serve as a replacement should the original be lost, damaged, or destroyed.",,,,,,,,,,,,,,,,,,,,,,,,
4302,electroreq:u,1,,,unknown,,,u,,,"Reformatting quality of the electronic resource is not known.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
