reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,nonprojectedsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Secondary support material of nonprojected graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/nonprojectedsec#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Type of material (other than normal museum matting) to which the primary support is attached.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,nonprojectedsec,http://marc21rdf.info/terms/nonprojectedsec#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321,nonprojectedsec:%23,1,,,"no secondary support",,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
4322,nonprojectedsec:a,1,,,canvas,,,a,,,Canvas.,,,,,,,,,,,,,,,,,,,,,,,,
4323,nonprojectedsec:b,1,,,"Bristol board",,,b,,,"Fine, smooth pasteboard used by artists and painters.",,,,,,,,,,,,,,,,,,,,,,,,
4324,nonprojectedsec:c,1,,,"cardboard/illustration board",,,c,,,"Cardboard/illustration board.",,,,,,,,,,,,,,,,,,,,,,,,
4325,nonprojectedsec:d,1,,,glass,,,d,,,Glass.,,,,,,,,,,,,,,,,,,,,,,,,
4326,nonprojectedsec:e,1,,,synthetic,,,e,,,"Man-made substances other than textiles, plastic, and vinyl.",,,,,,,,,,,,,,,,,,,,,,,,
4327,nonprojectedsec:f,1,,,skin,,,f,,,Skin.,,,"Excludes leather, parchment, and vellum.",,,,,,,,,,,,,,,,,,,,,
4328,nonprojectedsec:g,1,,,textile,,,g,,,Textile.,,,"Includes all natural or synthetic fibre fabrics except canvas.",,,,,,,,,,,,,,,,,,,,,
4329,nonprojectedsec:h,1,,,metal,,,h,,,Metal.,,,,,,,,,,,,,,,,,,,,,,,,
4330,nonprojectedsec:i,1,,,plastic,,,i,,,Plastic.,,,,,,,,,,,,,,,,,,,,,,,,
4331,nonprojectedsec:l,1,,,vinyl,,,l,,,Vinyl.,,,,,,,,,,,,,,,,,,,,,,,,
4332,nonprojectedsec:m,1,,,"mixed collection",,,m,,,"Secondary support material varies for different items in a collection.",,,,,,,,,,,,,,,,,,,,,,,,
4333,nonprojectedsec:n,1,,,vellum,,,n,,,"Fine-grained unsplit lambskin, kidskin, or calfskin prepared especially for writing or drawing on.",,,,,,,,,,,,,,,,,,,,,,,,
