reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,motionpicturebas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Base of film of motion pictures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/motionpicturebas#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,motionpicturebas,http://marc21rdf.info/terms/motionpicturebas#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,motionpicturebas:a,1,,,"safety base, undetermined",,,a,,,"Safety base film whose type has not been identified.",,,,,,,,,,,,,,,,,,,,,,,,
3448,motionpicturebas:c,1,,,"safety base, acetate undetermined",,,c,,,"Acetate safety base film whose exact type cannot be determined, i.e., where it is unknown if the type is diacetate or triacetate.",,,,,,,,,,,,,,,,,,,,,,,,
3449,motionpicturebas:d,1,,,"safety base, diacetate",,,d,,,"Cellulose diacetate film base.",,,"Introduced before World War I for home movies, diacetate base was more expensive and unpredictable than nitrate base and so failed to gain acceptance in professional 35 mm. film production.",,,,,,,,,,,,,,,,,,,,,
3450,motionpicturebas:i,1,,,"nitrate base",,,i,,,"Cellulose nitrate film base.",,,"Cellulose nitrate support or base was used in the manufacture of 35 mm. film (and some 17.5 mm. film) until 1951. Nitrate base film is no longer manufactured.",,,,,,,,,,,,,,,,,,,,,
3451,motionpicturebas:m,1,,,"mixed base (nitrate and safety)",,,m,,,"Combination of nitrate base and safety base film.",,,"The use of a mixed base was common in the early 1950s when nitrate base stock shots were spliced with safety base film for low-budget motion pictures. In such releases, up to 50% of the film consisted of stock shots on nitrate base film.",,,,,,,,,,,,,,,,,,,,,
3452,motionpicturebas:n,1,,,"not applicable",,,n,,,"Item does not have a film base.",,,"E.g., paper film.",,,,,,,,,,,,,,,,,,,,,
3453,motionpicturebas:p,1,,,"safety base, polyester",,,p,,,"Film base made of a synthetic resin.",,,"E.g., estar.",,,,,,,,,,,,,,,,,,,,,
3454,motionpicturebas:r,1,,,"safety base, mixed",,,r,,,"Mixed safety base films spliced together, but no nitrate film.",,,,,,,,,,,,,,,,,,,,,,,,
3455,motionpicturebas:t,1,,,"safety base, triacetate",,,t,,,"Cellulose triacetate film base.",,,"Cellulose triacetate is a high acetal compound with very low flammability and slow burning characteristics. From 1951, triacetate has been used for professional as well as for amateur produced moving image film.",,,,,,,,,,,,,,,,,,,,,
3456,motionpicturebas:u,1,,,unknown,,,u,,,"Base of the film is not known.",,,,,,,,,,,,,,,,,,,,,,,,
3457,motionpicturebas:z,1,,,other,,,z,,,"Base of film other than safety base, undetermined, safety base, acetate undetermined, safety base, diacetate, nitrate base, mixed base (nitrate and safety), not applicable, safety base, polyester, safety base, mixed, safety base, triacetate.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
