reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,nonprojectedpri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Primary support material for non-projected graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/nonprojectedpri#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Type of material used for the support or base on which an image is printed or executed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,nonprojectedpri,http://marc21rdf.info/terms/nonprojectedpri#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4186,nonprojectedpri:a,1,,,canvas,,,a,,,Canvas.,,,,,,,,,,,,,,,,,,,,,,,,
4187,nonprojectedpri:b,1,,,"Bristol board",,,b,,,"Fine, smooth pasteboard used by artists and painters.",,,,,,,,,,,,,,,,,,,,,,,,
4188,nonprojectedpri:c,1,,,"cardboard/illustration board",,,c,,,"Cardboard/illustration board.",,,,,,,,,,,,,,,,,,,,,,,,
4189,nonprojectedpri:d,1,,,glass,,,d,,,Glass.,,,,,,,,,,,,,,,,,,,,,,,,
4190,nonprojectedpri:e,1,,,synthetic,,,e,,,"Man-made substances other than textiles, plastic, and vinyl.",,,,,,,,,,,,,,,,,,,,,,,,
4191,nonprojectedpri:f,1,,,skin,,,f,,,Skin.,,,"Excludes leather, parchment, and vellum.",,,,,,,,,,,,,,,,,,,,,
4192,nonprojectedpri:g,1,,,textile,,,g,,,Textile.,,,"Includes all natural or synthetic fibre fabrics except canvas.",,,,,,,,,,,,,,,,,,,,,
4193,nonprojectedpri:h,1,,,metal,,,h,,,Metal.,,,,,,,,,,,,,,,,,,,,,,,,
4194,nonprojectedpri:l,1,,,leather,,,l,,,"Animal skin dressed for use.",,,,,,,,,,,,,,,,,,,,,,,,
4195,nonprojectedpri:n,1,,,vellum,,,n,,,"Fine-grained unsplit lambskin, kidskin, or calfskin prepared especially for writing or drawing on.",,,,,,,,,,,,,,,,,,,,,,,,
4196,nonprojectedpri:o,1,,,paper,,,o,,,"Any kind of cellulose-based paper.",,,,,,,,,,,,,,,,,,,,,,,,
4197,nonprojectedpri:p,1,,,plaster,,,p,,,Plaster.,,,"Includes mixtures of ground solids and plaster.",,,,,,,,,,,,,,,,,,,,,
4198,nonprojectedpri:q,1,,,hardboard,,,q,,,Hardboard.,,,,,,,,,,,,,,,,,,,,,,,,
