reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,motionpicturecsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Kind of color stock or print of motion picture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/motionpicturecsp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Type of color film stock or color print the item represents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,motionpicturecsp,http://marc21rdf.info/terms/motionpicturecsp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3916,motionpicturecsp:a,1,,,"imbibition dye transfer prints",,,a,,,"Film color prints created by the transfer of two or more differently colored dye images to a single strip of blank film. The dye transfer process was used only to produce prints. Imbibition dye transfer prints can be produced from film originally shot on either multi-strip or multi-layer film.",,,"The process was used only by the Technicolor Company from ca. 1928 to ca. 1975. The patents were sold to the People's Republic of China, and since ca. 1980, the process has been available only in China.",,,,,,,,,,,,,,,,,,,,,
3917,motionpicturecsp:b,1,,,"three layer stock",,,b,,,"Color film stock with three layers of emulsion: cyan, magenta and yellow. Each layer is sensitive to its own primary color.",,,"Since the early 1950's, most color films have been both shot and printed on this stock. It is also called multilayer film stock.",,,,,,,,,,,,,,,,,,,,,
3918,motionpicturecsp:c,1,,,"three layer stock, low fade",,,c,,,"Color film stock with three layers of emulsion: cyan, magenta and yellow. Each layer is sensitive to its own primary color and stabilized to reduce color fading as much as possible.",,,"It has been available since ca. 1983.",,,,,,,,,,,,,,,,,,,,,
3919,motionpicturecsp:d,1,,,"duplitized stock",,,d,,,"Color print stock with emulsion on both sides. Usually one side is dyed red, and the other side is dyed or toned blue.",,,,,,,,,,,,,,,,,,,,,,,,
3920,motionpicturecsp:n,1,,,"not applicable",,,n,,,"Item is not a color film.",,,,,,,,,,,,,,,,,,,,,,,,
3921,motionpicturecsp:u,1,,,unknown,,,u,,,"Item is not a color film.",,,,,,,,,,,,,,,,,,,,,,,,
3922,motionpicturecsp:z,1,,,other,,,z,,,"Kind of color stock or print other than imbibition dye transfer prints, three layer stock, three layer stock, low fade, duplitized stock.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
